#format table ## [WaveView Analyzer] saved 01:05:11 Sun Dec 28 2014
XVAL ,i(vdd) 
 1.660E+02 ,-4.587E-03 
 1.670E+02 ,-4.615E-03 
 1.680E+02 ,-4.642E-03 
 1.690E+02 ,-4.670E-03 
 1.700E+02 ,-4.698E-03 
 1.710E+02 ,-4.725E-03 
 1.720E+02 ,-4.753E-03 
 1.730E+02 ,-4.780E-03 
 1.740E+02 ,-4.808E-03 
 1.750E+02 ,-4.836E-03 
 1.760E+02 ,-4.863E-03 
 1.770E+02 ,-4.891E-03 
 1.780E+02 ,-4.919E-03 
 1.790E+02 ,-4.946E-03 
 1.800E+02 ,-4.974E-03 
 1.810E+02 ,-5.001E-03 
 1.820E+02 ,-5.029E-03 
 1.830E+02 ,-5.057E-03 
 1.840E+02 ,-5.084E-03 
 1.850E+02 ,-5.112E-03 
 1.860E+02 ,-5.140E-03 
 1.870E+02 ,-5.167E-03 
 1.880E+02 ,-5.195E-03 
 1.890E+02 ,-5.222E-03 
 1.900E+02 ,-5.250E-03 
 1.910E+02 ,-5.278E-03 
 1.920E+02 ,-5.305E-03 
 1.930E+02 ,-5.333E-03 
 1.940E+02 ,-5.361E-03 
 1.950E+02 ,-5.388E-03 
 1.960E+02 ,-5.416E-03 
 1.970E+02 ,-5.443E-03 
 1.980E+02 ,-5.471E-03 
 1.990E+02 ,-5.499E-03 
 2.000E+02 ,-5.526E-03 
