#format table ## [WaveView Analyzer] saved 23:38:22 Fri Jan  2 2015
TIME ,v(fgnd):ptubes=1 ,v(fgnd):ptubes=2 ,v(fgnd):ptubes=3 ,v(fgnd):ptubes=4 ,v(fgnd):ptubes=5 ,v(fgnd):ptubes=6 ,v(fgnd):ptubes=7 ,v(fgnd):ptubes=8 ,v(fgnd):ptubes=9 ,v(fgnd):ptubes=10 ,v(fgnd):ptubes=11 ,v(fgnd):ptubes=12 ,v(fgnd):ptubes=13 ,v(fgnd):ptubes=14 ,v(fgnd):ptubes=15 ,v(fgnd):ptubes=16 ,v(fgnd):ptubes=17 ,v(fgnd):ptubes=18 ,v(fgnd):ptubes=19 ,v(fgnd):ptubes=20 ,v(fgnd):ptubes=21 ,v(fgnd):ptubes=22 ,v(fgnd):ptubes=23 ,v(fgnd):ptubes=24 ,v(fgnd):ptubes=25 ,v(fgnd):ptubes=26 ,v(fgnd):ptubes=27 ,v(fgnd):ptubes=28 ,v(fgnd):ptubes=29 ,v(fgnd):ptubes=30 ,v(fgnd):ptubes=31 ,v(fgnd):ptubes=32 ,v(fgnd):ptubes=33 ,v(fgnd):ptubes=34 ,v(fgnd):ptubes=35 ,v(fgnd):ptubes=36 ,v(fgnd):ptubes=37 ,v(fgnd):ptubes=38 ,v(fgnd):ptubes=39 ,v(fgnd):ptubes=40 ,v(fgnd):ptubes=41 ,v(fgnd):ptubes=42 ,v(fgnd):ptubes=43 ,v(fgnd):ptubes=44 ,v(fgnd):ptubes=45 ,v(fgnd):ptubes=46 ,v(fgnd):ptubes=47 ,v(fgnd):ptubes=48 ,v(fgnd):ptubes=49 ,v(fgnd):ptubes=50 
 6.6476664E-13 , 5.7488076E-02 , 6.0390398E-02 , 6.2637812E-02 , 6.4517111E-02 , 6.6190413E-02 , 6.7586520E-02 , 6.8808325E-02 , 6.9892667E-02 , 7.0855523E-02 , 7.1720408E-02 , 7.2502378E-02 , 7.3271531E-02 , 7.3924722E-02 , 7.4523720E-02 , 7.5074485E-02 , 7.5584143E-02 , 7.6056713E-02 , 7.6496231E-02 , 7.6906179E-02 , 7.7289528E-02 , 7.7648887E-02 , 7.7986506E-02 , 7.8304360E-02 , 7.8604195E-02 , 7.8887558E-02 , 7.9155799E-02 , 7.9410147E-02 , 7.9649566E-02 , 7.9879372E-02 , 8.0098202E-02 , 8.0306852E-02 , 8.0506039E-02 , 8.0696410E-02 , 8.0878562E-02 , 8.1053025E-02 , 8.1220275E-02 , 8.1380790E-02 , 8.1534950E-02 , 8.1683165E-02 , 8.1825747E-02 , 8.1963055E-02 , 8.2080058E-02 , 8.2208595E-02 , 8.2332639E-02 , 8.2452408E-02 , 8.2568124E-02 , 8.2679981E-02 , 8.2788189E-02 , 8.2892925E-02 , 8.2994354E-02 
 6.6477488E-13 , 5.7488003E-02 , 6.0390428E-02 , 6.2637921E-02 , 6.4517285E-02 , 6.6190628E-02 , 6.7586762E-02 , 6.8808589E-02 , 6.9892951E-02 , 7.0856154E-02 , 7.1721069E-02 , 7.2503068E-02 , 7.3272245E-02 , 7.3925461E-02 , 7.4524482E-02 , 7.5075269E-02 , 7.5584947E-02 , 7.6057536E-02 , 7.6497073E-02 , 7.6907038E-02 , 7.7290403E-02 , 7.7649778E-02 , 7.7987412E-02 , 7.8305280E-02 , 7.8605129E-02 , 7.8888505E-02 , 7.9156759E-02 , 7.9411118E-02 , 7.9650550E-02 , 7.9880367E-02 , 8.0099207E-02 , 8.0307868E-02 , 8.0507064E-02 , 8.0697445E-02 , 8.0879606E-02 , 8.1054078E-02 , 8.1221337E-02 , 8.1381861E-02 , 8.1536029E-02 , 8.1684251E-02 , 8.1826842E-02 , 8.1964157E-02 , 8.2081169E-02 , 8.2209712E-02 , 8.2333764E-02 , 8.2453539E-02 , 8.2569261E-02 , 8.2681125E-02 , 8.2789338E-02 , 8.2894080E-02 , 8.2995515E-02 
 6.6478230E-13 , 5.7487937E-02 , 6.0390456E-02 , 6.2638021E-02 , 6.4517442E-02 , 6.6190822E-02 , 6.7586979E-02 , 6.8808828E-02 , 6.9893207E-02 , 7.0856425E-02 , 7.1721666E-02 , 7.2503689E-02 , 7.3272889E-02 , 7.3926127E-02 , 7.4525169E-02 , 7.5075975E-02 , 7.5585672E-02 , 7.6058278E-02 , 7.6497831E-02 , 7.6907812E-02 , 7.7291192E-02 , 7.7650581E-02 , 7.7988229E-02 , 7.8306109E-02 , 7.8605971E-02 , 7.8889359E-02 , 7.9157623E-02 , 7.9411994E-02 , 7.9651436E-02 , 7.9881263E-02 , 8.0100113E-02 , 8.0308783E-02 , 8.0507989E-02 , 8.0698378E-02 , 8.0880548E-02 , 8.1055028E-02 , 8.1222295E-02 , 8.1382826E-02 , 8.1537001E-02 , 8.1685231E-02 , 8.1827828E-02 , 8.1965150E-02 , 8.2082170E-02 , 8.2210720E-02 , 8.2334777E-02 , 8.2454558E-02 , 8.2570286E-02 , 8.2682155E-02 , 8.2790374E-02 , 8.2895122E-02 , 8.2996562E-02 
 6.6478902E-13 , 5.7487877E-02 , 6.0390481E-02 , 6.2638110E-02 , 6.4517584E-02 , 6.6190997E-02 , 6.7587176E-02 , 6.8809043E-02 , 6.9893438E-02 , 7.0856671E-02 , 7.1721924E-02 , 7.2504252E-02 , 7.3273472E-02 , 7.3926729E-02 , 7.4525790E-02 , 7.5076614E-02 , 7.5586328E-02 , 7.6058949E-02 , 7.6498517E-02 , 7.6908512E-02 , 7.7291906E-02 , 7.7651308E-02 , 7.7988968E-02 , 7.8306860E-02 , 7.8606733E-02 , 7.8890131E-02 , 7.9158406E-02 , 7.9412787E-02 , 7.9652238E-02 , 7.9882075E-02 , 8.0100933E-02 , 8.0309611E-02 , 8.0508825E-02 , 8.0699223E-02 , 8.0881400E-02 , 8.1055887E-02 , 8.1223162E-02 , 8.1383699E-02 , 8.1537881E-02 , 8.1686118E-02 , 8.1828721E-02 , 8.1966049E-02 , 8.2083076E-02 , 8.2211632E-02 , 8.2335694E-02 , 8.2455481E-02 , 8.2571214E-02 , 8.2683088E-02 , 8.2791312E-02 , 8.2896064E-02 , 8.2997509E-02 
 6.6479943E-13 , 5.7487785E-02 , 6.0390519E-02 , 6.2638249E-02 , 6.4517804E-02 , 6.6191269E-02 , 6.7587481E-02 , 6.8809377E-02 , 6.9893797E-02 , 7.0857051E-02 , 7.1722323E-02 , 7.2504669E-02 , 7.3274374E-02 , 7.3927663E-02 , 7.4526752E-02 , 7.5077604E-02 , 7.5587343E-02 , 7.6059989E-02 , 7.6499580E-02 , 7.6909597E-02 , 7.7293011E-02 , 7.7652433E-02 , 7.7990112E-02 , 7.8308022E-02 , 7.8607912E-02 , 7.8891327E-02 , 7.9159618E-02 , 7.9414014E-02 , 7.9653481E-02 , 7.9883331E-02 , 8.0102203E-02 , 8.0310894E-02 , 8.0510121E-02 , 8.0700530E-02 , 8.0882719E-02 , 8.1057218E-02 , 8.1224503E-02 , 8.1385052E-02 , 8.1539244E-02 , 8.1687490E-02 , 8.1830103E-02 , 8.1967441E-02 , 8.2084479E-02 , 8.2213043E-02 , 8.2337115E-02 , 8.2456909E-02 , 8.2572651E-02 , 8.2684533E-02 , 8.2792764E-02 , 8.2897524E-02 , 8.2998976E-02 
 6.6480550E-13 , 5.7487732E-02 , 6.0390542E-02 , 6.2638330E-02 , 6.4517932E-02 , 6.6191427E-02 , 6.7587659E-02 , 6.8809572E-02 , 6.9894006E-02 , 7.0857273E-02 , 7.1722556E-02 , 7.2504912E-02 , 7.3274625E-02 , 7.3928207E-02 , 7.4527314E-02 , 7.5078181E-02 , 7.5587935E-02 , 7.6060596E-02 , 7.6500200E-02 , 7.6910230E-02 , 7.7293656E-02 , 7.7653089E-02 , 7.7990780E-02 , 7.8308700E-02 , 7.8608600E-02 , 7.8892025E-02 , 7.9160325E-02 , 7.9414730E-02 , 7.9654205E-02 , 7.9884064E-02 , 8.0102944E-02 , 8.0311643E-02 , 8.0510877E-02 , 8.0701293E-02 , 8.0883489E-02 , 8.1057994E-02 , 8.1225286E-02 , 8.1385841E-02 , 8.1540039E-02 , 8.1688291E-02 , 8.1830910E-02 , 8.1968253E-02 , 8.2085297E-02 , 8.2213867E-02 , 8.2337943E-02 , 8.2457743E-02 , 8.2573489E-02 , 8.2685375E-02 , 8.2793611E-02 , 8.2898375E-02 , 8.2999831E-02 
 6.6481109E-13 , 5.7487682E-02 , 6.0390562E-02 , 6.2638404E-02 , 6.4518050E-02 , 6.6191573E-02 , 6.7587822E-02 , 6.8809751E-02 , 6.9894198E-02 , 7.0857477E-02 , 7.1722771E-02 , 7.2505135E-02 , 7.3274856E-02 , 7.3928445E-02 , 7.4527830E-02 , 7.5078712E-02 , 7.5588480E-02 , 7.6061153E-02 , 7.6500770E-02 , 7.6910812E-02 , 7.7294249E-02 , 7.7653693E-02 , 7.7991394E-02 , 7.8309324E-02 , 7.8609233E-02 , 7.8892667E-02 , 7.9160976E-02 , 7.9415388E-02 , 7.9654872E-02 , 7.9884738E-02 , 8.0103625E-02 , 8.0312331E-02 , 8.0511572E-02 , 8.0701995E-02 , 8.0884197E-02 , 8.1058708E-02 , 8.1226006E-02 , 8.1386566E-02 , 8.1540770E-02 , 8.1689027E-02 , 8.1831651E-02 , 8.1968999E-02 , 8.2086050E-02 , 8.2214624E-02 , 8.2338705E-02 , 8.2458509E-02 , 8.2574259E-02 , 8.2686150E-02 , 8.2794390E-02 , 8.2899158E-02 , 8.3000618E-02 
 6.6481586E-13 , 5.7487640E-02 , 6.0390580E-02 , 6.2638468E-02 , 6.4518150E-02 , 6.6191697E-02 , 6.7587962E-02 , 6.8809904E-02 , 6.9894363E-02 , 7.0857652E-02 , 7.1722954E-02 , 7.2505326E-02 , 7.3275054E-02 , 7.3928649E-02 , 7.4528039E-02 , 7.5079165E-02 , 7.5588946E-02 , 7.6061630E-02 , 7.6501258E-02 , 7.6911309E-02 , 7.7294756E-02 , 7.7654209E-02 , 7.7991918E-02 , 7.8309857E-02 , 7.8609774E-02 , 7.8893215E-02 , 7.9161531E-02 , 7.9415951E-02 , 7.9655441E-02 , 7.9885313E-02 , 8.0104207E-02 , 8.0312919E-02 , 8.0512165E-02 , 8.0702594E-02 , 8.0884802E-02 , 8.1059318E-02 , 8.1226621E-02 , 8.1387186E-02 , 8.1541395E-02 , 8.1689657E-02 , 8.1832285E-02 , 8.1969637E-02 , 8.2086693E-02 , 8.2215271E-02 , 8.2339356E-02 , 8.2459164E-02 , 8.2574918E-02 , 8.2686812E-02 , 8.2795056E-02 , 8.2899827E-02 , 8.3001290E-02 
 6.6482063E-13 , 5.7487598E-02 , 6.0390598E-02 , 6.2638532E-02 , 6.4518251E-02 , 6.6191822E-02 , 6.7588102E-02 , 6.8810057E-02 , 6.9894527E-02 , 7.0857826E-02 , 7.1723137E-02 , 7.2505517E-02 , 7.3275251E-02 , 7.3928853E-02 , 7.4528248E-02 , 7.5079379E-02 , 7.5589411E-02 , 7.6062107E-02 , 7.6501745E-02 , 7.6911806E-02 , 7.7295263E-02 , 7.7654725E-02 , 7.7992442E-02 , 7.8310389E-02 , 7.8610315E-02 , 7.8893764E-02 , 7.9162087E-02 , 7.9416514E-02 , 7.9656010E-02 , 7.9885889E-02 , 8.0104789E-02 , 8.0313507E-02 , 8.0512759E-02 , 8.0703193E-02 , 8.0885406E-02 , 8.1059928E-02 , 8.1227236E-02 , 8.1387806E-02 , 8.1542019E-02 , 8.1690286E-02 , 8.1832919E-02 , 8.1970275E-02 , 8.2087336E-02 , 8.2215918E-02 , 8.2340007E-02 , 8.2459818E-02 , 8.2575576E-02 , 8.2687474E-02 , 8.2795721E-02 , 8.2900496E-02 , 8.3001963E-02 
 6.6482502E-13 , 5.7487559E-02 , 6.0390614E-02 , 6.2638590E-02 , 6.4518344E-02 , 6.6191936E-02 , 6.7588231E-02 , 6.8810198E-02 , 6.9894678E-02 , 7.0857986E-02 , 7.1723305E-02 , 7.2505693E-02 , 7.3275433E-02 , 7.3929040E-02 , 7.4528441E-02 , 7.5079576E-02 , 7.5589612E-02 , 7.6062545E-02 , 7.6502193E-02 , 7.6912264E-02 , 7.7295729E-02 , 7.7655200E-02 , 7.7992925E-02 , 7.8310880E-02 , 7.8610812E-02 , 7.8894268E-02 , 7.9162598E-02 , 7.9417031E-02 , 7.9656534E-02 , 7.9886419E-02 , 8.0105325E-02 , 8.0314048E-02 , 8.0513306E-02 , 8.0703745E-02 , 8.0885963E-02 , 8.1060490E-02 , 8.1227802E-02 , 8.1388376E-02 , 8.1542594E-02 , 8.1690865E-02 , 8.1833502E-02 , 8.1970862E-02 , 8.2087928E-02 , 8.2216514E-02 , 8.2340606E-02 , 8.2460421E-02 , 8.2576182E-02 , 8.2688084E-02 , 8.2796334E-02 , 8.2901112E-02 , 8.3002581E-02 
