#format table ## [WaveView Analyzer] saved 00:06:11 Sat Jan  3 2015
TIME ,v(fgnd):pwidth=4.3e-08 ,v(fgnd):pwidth=8.6e-08 ,v(fgnd):pwidth=1.29e-07 ,v(fgnd):pwidth=1.72e-07 ,v(fgnd):pwidth=2.15e-07 ,v(fgnd):pwidth=2.58e-07 ,v(fgnd):pwidth=3.01e-07 ,v(fgnd):pwidth=3.44e-07 ,v(fgnd):pwidth=3.87e-07 ,v(fgnd):pwidth=4.3e-07 ,v(fgnd):pwidth=4.73e-07 ,v(fgnd):pwidth=5.16e-07 ,v(fgnd):pwidth=5.59e-07 ,v(fgnd):pwidth=6.02e-07 ,v(fgnd):pwidth=6.45e-07 ,v(fgnd):pwidth=6.88e-07 ,v(fgnd):pwidth=7.31e-07 ,v(fgnd):pwidth=7.74e-07 ,v(fgnd):pwidth=8.17e-07 ,v(fgnd):pwidth=8.6e-07 ,v(fgnd):pwidth=9.03e-07 ,v(fgnd):pwidth=9.46e-07 ,v(fgnd):pwidth=9.89e-07 ,v(fgnd):pwidth=1.032e-06 ,v(fgnd):pwidth=1.075e-06 ,v(fgnd):pwidth=1.118e-06 ,v(fgnd):pwidth=1.161e-06 ,v(fgnd):pwidth=1.204e-06 ,v(fgnd):pwidth=1.247e-06 ,v(fgnd):pwidth=1.29e-06 ,v(fgnd):pwidth=1.333e-06 ,v(fgnd):pwidth=1.376e-06 ,v(fgnd):pwidth=1.419e-06 ,v(fgnd):pwidth=1.462e-06 ,v(fgnd):pwidth=1.505e-06 ,v(fgnd):pwidth=1.548e-06 ,v(fgnd):pwidth=1.591e-06 ,v(fgnd):pwidth=1.634e-06 ,v(fgnd):pwidth=1.677e-06 ,v(fgnd):pwidth=1.72e-06 ,v(fgnd):pwidth=1.763e-06 ,v(fgnd):pwidth=1.806e-06 ,v(fgnd):pwidth=1.849e-06 ,v(fgnd):pwidth=1.892e-06 ,v(fgnd):pwidth=1.935e-06 ,v(fgnd):pwidth=1.978e-06 ,v(fgnd):pwidth=2.021e-06 ,v(fgnd):pwidth=2.064e-06 ,v(fgnd):pwidth=2.107e-06 ,v(fgnd):pwidth=2.15e-06 
 0.0000000E+00 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 
 5.0000000E-13 , 4.8035130E-02 , 5.2573219E-02 , 5.5514853E-02 , 5.7584729E-02 , 5.9125159E-02 , 6.0319472E-02 , 6.1268583E-02 , 6.2052883E-02 , 6.2709242E-02 , 6.3268162E-02 , 6.3750848E-02 , 6.4173236E-02 , 6.4546101E-02 , 6.4880446E-02 , 6.5182261E-02 , 6.5457053E-02 , 6.5709241E-02 , 6.5942377E-02 , 6.6159397E-02 , 6.6362709E-02 , 6.6554345E-02 , 6.6735990E-02 , 6.6909090E-02 , 6.7074873E-02 , 6.7234412E-02 , 6.7388624E-02 , 6.7538299E-02 , 6.7684166E-02 , 6.7826815E-02 , 6.7966811E-02 , 6.8104640E-02 , 6.8240747E-02 , 6.8375520E-02 , 6.8509318E-02 , 6.8642475E-02 , 6.8775274E-02 , 6.8907991E-02 , 6.9040872E-02 , 6.9174156E-02 , 6.9308057E-02 , 6.9442756E-02 , 6.9578461E-02 , 6.9715336E-02 , 6.9853544E-02 , 6.9993243E-02 , 7.0134580E-02 , 7.0277691E-02 , 7.0422709E-02 , 7.0569769E-02 , 7.0718981E-02 
 6.2500000E-13 , 5.9960920E-02 , 6.6099912E-02 , 6.9938280E-02 , 7.2539456E-02 , 7.4414589E-02 , 7.5826533E-02 , 7.6975904E-02 , 7.7843897E-02 , 7.8550987E-02 , 7.9136319E-02 , 7.9627894E-02 , 8.0045104E-02 , 8.0403842E-02 , 8.0712229E-02 , 8.0980025E-02 , 8.1213757E-02 , 8.1418633E-02 , 8.1598826E-02 , 8.1757732E-02 , 8.1898168E-02 , 8.2022458E-02 , 8.2132578E-02 , 8.2230195E-02 , 8.2316749E-02 , 8.2393475E-02 , 8.2461454E-02 , 8.2521640E-02 , 8.2574852E-02 , 8.2621865E-02 , 8.2663342E-02 , 8.2699880E-02 , 8.2732037E-02 , 8.2760304E-02 , 8.2785159E-02 , 8.2807019E-02 , 8.2826287E-02 , 8.2843319E-02 , 8.2858466E-02 , 8.2872048E-02 , 8.2884379E-02 , 8.2895748E-02 , 8.2906425E-02 , 8.2916677E-02 , 8.2926758E-02 , 8.2936898E-02 , 8.2947329E-02 , 8.2958281E-02 , 8.2969971E-02 , 8.2982592E-02 , 8.2996354E-02 
 6.6452719E-13 , 6.1524535E-02 , 6.8321843E-02 , 7.2560668E-02 , 7.5433949E-02 , 7.7506303E-02 , 7.9068098E-02 , 8.0328293E-02 , 8.1292365E-02 , 8.2078623E-02 , 8.2730318E-02 , 8.3277963E-02 , 8.3743069E-02 , 8.4142742E-02 , 8.4486618E-02 , 8.4785063E-02 , 8.5045245E-02 , 8.5272853E-02 , 8.5472438E-02 , 8.5647714E-02 , 8.5801734E-02 , 8.5937017E-02 , 8.6055714E-02 , 8.6159620E-02 , 8.6250283E-02 , 8.6329038E-02 , 8.6397050E-02 , 8.6455344E-02 , 8.6504808E-02 , 8.6546272E-02 , 8.6580451E-02 , 8.6607998E-02 , 8.6629516E-02 , 8.6645549E-02 , 8.6656598E-02 , 8.6663135E-02 , 8.6665609E-02 , 8.6664406E-02 , 8.6659923E-02 , 8.6652527E-02 , 8.6642556E-02 , 8.6630339E-02 , 8.6616191E-02 , 8.6600408E-02 , 8.6583269E-02 , 8.6565064E-02 , 8.6546061E-02 , 8.6526494E-02 , 8.6506634E-02 , 8.6486713E-02 , 8.6466961E-02 
 6.6453164E-13 , 6.1524711E-02 , 6.8322092E-02 , 7.2560963E-02 , 7.5434275E-02 , 7.7506650E-02 , 7.9068463E-02 , 8.0328670E-02 , 8.1292753E-02 , 8.2079019E-02 , 8.2730722E-02 , 8.3278374E-02 , 8.3743485E-02 , 8.4143163E-02 , 8.4487042E-02 , 8.4785491E-02 , 8.5045676E-02 , 8.5273287E-02 , 8.5472874E-02 , 8.5648151E-02 , 8.5802173E-02 , 8.5937458E-02 , 8.6056156E-02 , 8.6160062E-02 , 8.6250725E-02 , 8.6329480E-02 , 8.6397493E-02 , 8.6455786E-02 , 8.6505250E-02 , 8.6546713E-02 , 8.6580892E-02 , 8.6608437E-02 , 8.6629954E-02 , 8.6645986E-02 , 8.6657033E-02 , 8.6663569E-02 , 8.6666041E-02 , 8.6664835E-02 , 8.6660350E-02 , 8.6652952E-02 , 8.6642979E-02 , 8.6630759E-02 , 8.6616609E-02 , 8.6600822E-02 , 8.6583680E-02 , 8.6565472E-02 , 8.6546466E-02 , 8.6526895E-02 , 8.6507032E-02 , 8.6487107E-02 , 8.6467077E-02 
 6.6453603E-13 , 6.1524884E-02 , 6.8322339E-02 , 7.2561255E-02 , 7.5434596E-02 , 7.7506994E-02 , 7.9068823E-02 , 8.0329042E-02 , 8.1293136E-02 , 8.2079411E-02 , 8.2731121E-02 , 8.3278779E-02 , 8.3743896E-02 , 8.4143578E-02 , 8.4487462E-02 , 8.4785914E-02 , 8.5046101E-02 , 8.5273715E-02 , 8.5473304E-02 , 8.5648583E-02 , 8.5802606E-02 , 8.5937892E-02 , 8.6056591E-02 , 8.6160498E-02 , 8.6251162E-02 , 8.6329918E-02 , 8.6397930E-02 , 8.6456223E-02 , 8.6505687E-02 , 8.6547149E-02 , 8.6581327E-02 , 8.6608871E-02 , 8.6630387E-02 , 8.6646417E-02 , 8.6657464E-02 , 8.6663997E-02 , 8.6666467E-02 , 8.6665260E-02 , 8.6660772E-02 , 8.6653372E-02 , 8.6643396E-02 , 8.6631174E-02 , 8.6617021E-02 , 8.6601231E-02 , 8.6584086E-02 , 8.6565875E-02 , 8.6546866E-02 , 8.6527291E-02 , 8.6507425E-02 , 8.6487222E-02 , 8.6467192E-02 
 6.6454036E-13 , 6.1525056E-02 , 6.8322583E-02 , 7.2561542E-02 , 7.5434914E-02 , 7.7507333E-02 , 7.9069179E-02 , 8.0329410E-02 , 8.1293514E-02 , 8.2079798E-02 , 8.2731516E-02 , 8.3279179E-02 , 8.3744302E-02 , 8.4143988E-02 , 8.4487876E-02 , 8.4786331E-02 , 8.5046522E-02 , 8.5274138E-02 , 8.5473729E-02 , 8.5649010E-02 , 8.5803035E-02 , 8.5938322E-02 , 8.6057022E-02 , 8.6160930E-02 , 8.6251594E-02 , 8.6330349E-02 , 8.6398362E-02 , 8.6456655E-02 , 8.6506118E-02 , 8.6547580E-02 , 8.6581757E-02 , 8.6609300E-02 , 8.6630815E-02 , 8.6646844E-02 , 8.6657888E-02 , 8.6664420E-02 , 8.6666888E-02 , 8.6665679E-02 , 8.6661190E-02 , 8.6653787E-02 , 8.6643809E-02 , 8.6631584E-02 , 8.6617428E-02 , 8.6601636E-02 , 8.6584487E-02 , 8.6566273E-02 , 8.6547260E-02 , 8.6527683E-02 , 8.6507538E-02 , 8.6487335E-02 , 8.6467305E-02 
 6.6454465E-13 , 6.1525225E-02 , 6.8322824E-02 , 7.2561827E-02 , 7.5435227E-02 , 7.7507668E-02 , 7.9069530E-02 , 8.0329773E-02 , 8.1293888E-02 , 8.2080180E-02 , 8.2731905E-02 , 8.3279575E-02 , 8.3744703E-02 , 8.4144393E-02 , 8.4488285E-02 , 8.4786743E-02 , 8.5046937E-02 , 8.5274555E-02 , 8.5474149E-02 , 8.5649432E-02 , 8.5803458E-02 , 8.5938746E-02 , 8.6057447E-02 , 8.6161355E-02 , 8.6252020E-02 , 8.6330776E-02 , 8.6398788E-02 , 8.6457081E-02 , 8.6506544E-02 , 8.6548005E-02 , 8.6582181E-02 , 8.6609723E-02 , 8.6631237E-02 , 8.6647265E-02 , 8.6658308E-02 , 8.6664838E-02 , 8.6667304E-02 , 8.6666093E-02 , 8.6661601E-02 , 8.6654197E-02 , 8.6644216E-02 , 8.6631988E-02 , 8.6617830E-02 , 8.6602035E-02 , 8.6584883E-02 , 8.6566666E-02 , 8.6547650E-02 , 8.6527794E-02 , 8.6507650E-02 , 8.6487447E-02 , 8.6467417E-02 
 6.6454893E-13 , 6.1525395E-02 , 6.8323065E-02 , 7.2562111E-02 , 7.5435541E-02 , 7.7508003E-02 , 7.9069881E-02 , 8.0330137E-02 , 8.1294261E-02 , 8.2080563E-02 , 8.2732295E-02 , 8.3279970E-02 , 8.3745103E-02 , 8.4144799E-02 , 8.4488694E-02 , 8.4787156E-02 , 8.5047352E-02 , 8.5274973E-02 , 8.5474568E-02 , 8.5649853E-02 , 8.5803881E-02 , 8.5939170E-02 , 8.6057872E-02 , 8.6161781E-02 , 8.6252446E-02 , 8.6331202E-02 , 8.6399215E-02 , 8.6457507E-02 , 8.6506970E-02 , 8.6548430E-02 , 8.6582606E-02 , 8.6610147E-02 , 8.6631659E-02 , 8.6647686E-02 , 8.6658727E-02 , 8.6665256E-02 , 8.6667720E-02 , 8.6666507E-02 , 8.6662013E-02 , 8.6654606E-02 , 8.6644623E-02 , 8.6632393E-02 , 8.6618232E-02 , 8.6602434E-02 , 8.6585280E-02 , 8.6567059E-02 , 8.6547761E-02 , 8.6527906E-02 , 8.6507761E-02 , 8.6487559E-02 , 8.6467529E-02 
 6.6455316E-13 , 6.1525562E-02 , 6.8323302E-02 , 7.2562391E-02 , 7.5435851E-02 , 7.7508334E-02 , 7.9070228E-02 , 8.0330495E-02 , 8.1294630E-02 , 8.2080940E-02 , 8.2732679E-02 , 8.3280361E-02 , 8.3745499E-02 , 8.4145199E-02 , 8.4489097E-02 , 8.4787563E-02 , 8.5047762E-02 , 8.5275385E-02 , 8.5474983E-02 , 8.5650269E-02 , 8.5804298E-02 , 8.5939589E-02 , 8.6058292E-02 , 8.6162201E-02 , 8.6252867E-02 , 8.6331623E-02 , 8.6399636E-02 , 8.6457928E-02 , 8.6507390E-02 , 8.6548850E-02 , 8.6583025E-02 , 8.6610565E-02 , 8.6632076E-02 , 8.6648101E-02 , 8.6659141E-02 , 8.6665668E-02 , 8.6668131E-02 , 8.6666916E-02 , 8.6662420E-02 , 8.6655011E-02 , 8.6645025E-02 , 8.6632792E-02 , 8.6618629E-02 , 8.6602828E-02 , 8.6585671E-02 , 8.6567168E-02 , 8.6547871E-02 , 8.6528016E-02 , 8.6507872E-02 , 8.6487670E-02 , 8.6467640E-02 
 6.6455733E-13 , 6.1525727E-02 , 6.8323537E-02 , 7.2562668E-02 , 7.5436156E-02 , 7.7508660E-02 , 7.9070570E-02 , 8.0330849E-02 , 8.1294994E-02 , 8.2081313E-02 , 8.2733059E-02 , 8.3280746E-02 , 8.3745889E-02 , 8.4145593E-02 , 8.4489496E-02 , 8.4787965E-02 , 8.5048167E-02 , 8.5275792E-02 , 8.5475392E-02 , 8.5650680E-02 , 8.5804710E-02 , 8.5940002E-02 , 8.6058706E-02 , 8.6162616E-02 , 8.6253282E-02 , 8.6332039E-02 , 8.6400051E-02 , 8.6458343E-02 , 8.6507805E-02 , 8.6549264E-02 , 8.6583438E-02 , 8.6610978E-02 , 8.6632488E-02 , 8.6648512E-02 , 8.6659550E-02 , 8.6666076E-02 , 8.6668536E-02 , 8.6667319E-02 , 8.6662821E-02 , 8.6655410E-02 , 8.6645422E-02 , 8.6633187E-02 , 8.6619020E-02 , 8.6603217E-02 , 8.6585778E-02 , 8.6567276E-02 , 8.6547979E-02 , 8.6528124E-02 , 8.6507981E-02 , 8.6487779E-02 , 8.6467749E-02 
 6.6456145E-13 , 6.1525890E-02 , 6.8323768E-02 , 7.2562941E-02 , 7.5436458E-02 , 7.7508982E-02 , 7.9070908E-02 , 8.0331199E-02 , 8.1295354E-02 , 8.2081680E-02 , 8.2733433E-02 , 8.3281127E-02 , 8.3746275E-02 , 8.4145983E-02 , 8.4489889E-02 , 8.4788361E-02 , 8.5048566E-02 , 8.5276194E-02 , 8.5475796E-02 , 8.5651085E-02 , 8.5805117E-02 , 8.5940410E-02 , 8.6059115E-02 , 8.6163026E-02 , 8.6253692E-02 , 8.6332449E-02 , 8.6400461E-02 , 8.6458753E-02 , 8.6508215E-02 , 8.6549673E-02 , 8.6583847E-02 , 8.6611385E-02 , 8.6632894E-02 , 8.6648917E-02 , 8.6659954E-02 , 8.6666478E-02 , 8.6668937E-02 , 8.6667718E-02 , 8.6663218E-02 , 8.6655804E-02 , 8.6645814E-02 , 8.6633576E-02 , 8.6619407E-02 , 8.6603322E-02 , 8.6585883E-02 , 8.6567382E-02 , 8.6548086E-02 , 8.6528231E-02 , 8.6508088E-02 , 8.6487886E-02 , 8.6467857E-02 
 6.6456557E-13 , 6.1526053E-02 , 6.8324000E-02 , 7.2563215E-02 , 7.5436760E-02 , 7.7509305E-02 , 7.9071246E-02 , 8.0331548E-02 , 8.1295713E-02 , 8.2082048E-02 , 8.2733808E-02 , 8.3281507E-02 , 8.3746660E-02 , 8.4146373E-02 , 8.4490283E-02 , 8.4788758E-02 , 8.5048965E-02 , 8.5276596E-02 , 8.5476199E-02 , 8.5651491E-02 , 8.5805524E-02 , 8.5940818E-02 , 8.6059524E-02 , 8.6163435E-02 , 8.6254102E-02 , 8.6332859E-02 , 8.6400872E-02 , 8.6459163E-02 , 8.6508624E-02 , 8.6550082E-02 , 8.6584255E-02 , 8.6611792E-02 , 8.6633300E-02 , 8.6649322E-02 , 8.6660357E-02 , 8.6666879E-02 , 8.6669337E-02 , 8.6668116E-02 , 8.6663614E-02 , 8.6656198E-02 , 8.6646205E-02 , 8.6633965E-02 , 8.6619511E-02 , 8.6603426E-02 , 8.6585989E-02 , 8.6567488E-02 , 8.6548192E-02 , 8.6528338E-02 , 8.6508195E-02 , 8.6487994E-02 , 8.6467965E-02 
 6.6456958E-13 , 6.1526212E-02 , 6.8324226E-02 , 7.2563481E-02 , 7.5437053E-02 , 7.7509618E-02 , 7.9071575E-02 , 8.0331888E-02 , 8.1296063E-02 , 8.2082406E-02 , 8.2734172E-02 , 8.3281878E-02 , 8.3747035E-02 , 8.4146752E-02 , 8.4490666E-02 , 8.4789144E-02 , 8.5049354E-02 , 8.5276987E-02 , 8.5476592E-02 , 8.5651886E-02 , 8.5805920E-02 , 8.5941216E-02 , 8.6059922E-02 , 8.6163834E-02 , 8.6254501E-02 , 8.6333259E-02 , 8.6401271E-02 , 8.6459563E-02 , 8.6509023E-02 , 8.6550481E-02 , 8.6584652E-02 , 8.6612189E-02 , 8.6633696E-02 , 8.6649716E-02 , 8.6660750E-02 , 8.6667271E-02 , 8.6669726E-02 , 8.6668504E-02 , 8.6664000E-02 , 8.6656582E-02 , 8.6646587E-02 , 8.6634066E-02 , 8.6619612E-02 , 8.6603528E-02 , 8.6586091E-02 , 8.6567591E-02 , 8.6548296E-02 , 8.6528443E-02 , 8.6508300E-02 , 8.6488099E-02 , 8.6468070E-02 
 6.6457359E-13 , 6.1526371E-02 , 6.8324451E-02 , 7.2563747E-02 , 7.5437347E-02 , 7.7509932E-02 , 7.9071904E-02 , 8.0332228E-02 , 8.1296413E-02 , 8.2082764E-02 , 8.2734537E-02 , 8.3282248E-02 , 8.3747411E-02 , 8.4147132E-02 , 8.4491049E-02 , 8.4789530E-02 , 8.5049743E-02 , 8.5277378E-02 , 8.5476986E-02 , 8.5652280E-02 , 8.5806316E-02 , 8.5941613E-02 , 8.6060320E-02 , 8.6164233E-02 , 8.6254901E-02 , 8.6333658E-02 , 8.6401670E-02 , 8.6459962E-02 , 8.6509422E-02 , 8.6550879E-02 , 8.6585050E-02 , 8.6612586E-02 , 8.6634091E-02 , 8.6650110E-02 , 8.6661143E-02 , 8.6667662E-02 , 8.6670116E-02 , 8.6668892E-02 , 8.6664385E-02 , 8.6656965E-02 , 8.6646686E-02 , 8.6634166E-02 , 8.6619713E-02 , 8.6603630E-02 , 8.6586194E-02 , 8.6567695E-02 , 8.6548400E-02 , 8.6528547E-02 , 8.6508405E-02 , 8.6488204E-02 , 8.6468175E-02 
 6.6457755E-13 , 6.1526527E-02 , 6.8324674E-02 , 7.2564010E-02 , 7.5437637E-02 , 7.7510242E-02 , 7.9072228E-02 , 8.0332564E-02 , 8.1296758E-02 , 8.2083117E-02 , 8.2734897E-02 , 8.3282614E-02 , 8.3747781E-02 , 8.4147506E-02 , 8.4491427E-02 , 8.4789911E-02 , 8.5050127E-02 , 8.5277764E-02 , 8.5477373E-02 , 8.5652670E-02 , 8.5806707E-02 , 8.5942005E-02 , 8.6060713E-02 , 8.6164626E-02 , 8.6255294E-02 , 8.6334052E-02 , 8.6402064E-02 , 8.6460356E-02 , 8.6509815E-02 , 8.6551272E-02 , 8.6585442E-02 , 8.6612977E-02 , 8.6634481E-02 , 8.6650499E-02 , 8.6661531E-02 , 8.6668048E-02 , 8.6670500E-02 , 8.6669274E-02 , 8.6664766E-02 , 8.6657062E-02 , 8.6646784E-02 , 8.6634265E-02 , 8.6619813E-02 , 8.6603731E-02 , 8.6586295E-02 , 8.6567797E-02 , 8.6548503E-02 , 8.6528650E-02 , 8.6508508E-02 , 8.6488307E-02 , 8.6468278E-02 
 6.6458140E-13 , 6.1526679E-02 , 6.8324890E-02 , 7.2564265E-02 , 7.5437919E-02 , 7.7510543E-02 , 7.9072544E-02 , 8.0332891E-02 , 8.1297094E-02 , 8.2083461E-02 , 8.2735247E-02 , 8.3282969E-02 , 8.3748141E-02 , 8.4147870E-02 , 8.4491794E-02 , 8.4790282E-02 , 8.5050500E-02 , 8.5278139E-02 , 8.5477751E-02 , 8.5653049E-02 , 8.5807087E-02 , 8.5942386E-02 , 8.6061095E-02 , 8.6165009E-02 , 8.6255678E-02 , 8.6334435E-02 , 8.6402448E-02 , 8.6460739E-02 , 8.6510198E-02 , 8.6551654E-02 , 8.6585823E-02 , 8.6613357E-02 , 8.6634861E-02 , 8.6650877E-02 , 8.6661908E-02 , 8.6668424E-02 , 8.6670874E-02 , 8.6669646E-02 , 8.6664859E-02 , 8.6657156E-02 , 8.6646879E-02 , 8.6634361E-02 , 8.6619910E-02 , 8.6603829E-02 , 8.6586394E-02 , 8.6567896E-02 , 8.6548602E-02 , 8.6528750E-02 , 8.6508608E-02 , 8.6488408E-02 , 8.6468379E-02 
 6.6458525E-13 , 6.1526832E-02 , 6.8325106E-02 , 7.2564520E-02 , 7.5438201E-02 , 7.7510844E-02 , 7.9072860E-02 , 8.0333217E-02 , 8.1297430E-02 , 8.2083804E-02 , 8.2735597E-02 , 8.3283324E-02 , 8.3748501E-02 , 8.4148234E-02 , 8.4492162E-02 , 8.4790652E-02 , 8.5050873E-02 , 8.5278514E-02 , 8.5478128E-02 , 8.5653427E-02 , 8.5807467E-02 , 8.5942767E-02 , 8.6061477E-02 , 8.6165392E-02 , 8.6256061E-02 , 8.6334819E-02 , 8.6402831E-02 , 8.6461122E-02 , 8.6510581E-02 , 8.6552036E-02 , 8.6586205E-02 , 8.6613738E-02 , 8.6635240E-02 , 8.6651256E-02 , 8.6662285E-02 , 8.6668799E-02 , 8.6671248E-02 , 8.6669738E-02 , 8.6664952E-02 , 8.6657251E-02 , 8.6646974E-02 , 8.6634457E-02 , 8.6620007E-02 , 8.6603927E-02 , 8.6586492E-02 , 8.6567995E-02 , 8.6548702E-02 , 8.6528850E-02 , 8.6508709E-02 , 8.6488509E-02 , 8.6468480E-02 
 6.6458904E-13 , 6.1526982E-02 , 6.8325320E-02 , 7.2564772E-02 , 7.5438478E-02 , 7.7511141E-02 , 7.9073171E-02 , 8.0333539E-02 , 8.1297761E-02 , 8.2084143E-02 , 8.2735942E-02 , 8.3283675E-02 , 8.3748856E-02 , 8.4148593E-02 , 8.4492524E-02 , 8.4791017E-02 , 8.5051241E-02 , 8.5278884E-02 , 8.5478500E-02 , 8.5653801E-02 , 8.5807842E-02 , 8.5943143E-02 , 8.6061854E-02 , 8.6165769E-02 , 8.6256438E-02 , 8.6335196E-02 , 8.6403209E-02 , 8.6461499E-02 , 8.6510958E-02 , 8.6552413E-02 , 8.6586581E-02 , 8.6614113E-02 , 8.6635615E-02 , 8.6651629E-02 , 8.6662656E-02 , 8.6669169E-02 , 8.6671338E-02 , 8.6669829E-02 , 8.6665044E-02 , 8.6657343E-02 , 8.6647068E-02 , 8.6634552E-02 , 8.6620103E-02 , 8.6604023E-02 , 8.6586590E-02 , 8.6568093E-02 , 8.6548800E-02 , 8.6528949E-02 , 8.6508808E-02 , 8.6488608E-02 , 8.6468579E-02 
 6.6459278E-13 , 6.1527130E-02 , 6.8325530E-02 , 7.2565020E-02 , 7.5438752E-02 , 7.7511433E-02 , 7.9073478E-02 , 8.0333856E-02 , 8.1298087E-02 , 8.2084477E-02 , 8.2736282E-02 , 8.3284020E-02 , 8.3749206E-02 , 8.4148947E-02 , 8.4492881E-02 , 8.4791377E-02 , 8.5051603E-02 , 8.5279249E-02 , 8.5478866E-02 , 8.5654169E-02 , 8.5808212E-02 , 8.5943513E-02 , 8.6062225E-02 , 8.6166141E-02 , 8.6256810E-02 , 8.6335569E-02 , 8.6403581E-02 , 8.6461872E-02 , 8.6511330E-02 , 8.6552784E-02 , 8.6586952E-02 , 8.6614483E-02 , 8.6635983E-02 , 8.6651996E-02 , 8.6663023E-02 , 8.6669256E-02 , 8.6671426E-02 , 8.6669918E-02 , 8.6665135E-02 , 8.6657435E-02 , 8.6647161E-02 , 8.6634645E-02 , 8.6620197E-02 , 8.6604118E-02 , 8.6586685E-02 , 8.6568189E-02 , 8.6548897E-02 , 8.6529046E-02 , 8.6508905E-02 , 8.6488706E-02 , 8.6468677E-02 
 6.6459642E-13 , 6.1527273E-02 , 6.8325734E-02 , 7.2565261E-02 , 7.5439018E-02 , 7.7511717E-02 , 7.9073776E-02 , 8.0334164E-02 , 8.1298404E-02 , 8.2084801E-02 , 8.2736612E-02 , 8.3284356E-02 , 8.3749546E-02 , 8.4149290E-02 , 8.4493228E-02 , 8.4791727E-02 , 8.5051955E-02 , 8.5279603E-02 , 8.5479222E-02 , 8.5654527E-02 , 8.5808570E-02 , 8.5943873E-02 , 8.6062585E-02 , 8.6166502E-02 , 8.6257172E-02 , 8.6335930E-02 , 8.6403943E-02 , 8.6462233E-02 , 8.6511691E-02 , 8.6553145E-02 , 8.6587312E-02 , 8.6614842E-02 , 8.6636342E-02 , 8.6652353E-02 , 8.6663106E-02 , 8.6669341E-02 , 8.6671511E-02 , 8.6670005E-02 , 8.6665222E-02 , 8.6657524E-02 , 8.6647251E-02 , 8.6634736E-02 , 8.6620289E-02 , 8.6604210E-02 , 8.6586778E-02 , 8.6568283E-02 , 8.6548991E-02 , 8.6529141E-02 , 8.6509000E-02 , 8.6488800E-02 , 8.6468772E-02 
 6.6460005E-13 , 6.1527417E-02 , 6.8325938E-02 , 7.2565502E-02 , 7.5439284E-02 , 7.7512001E-02 , 7.9074073E-02 , 8.0334472E-02 , 8.1298721E-02 , 8.2085125E-02 , 8.2736943E-02 , 8.3284691E-02 , 8.3749886E-02 , 8.4149634E-02 , 8.4493575E-02 , 8.4792077E-02 , 8.5052307E-02 , 8.5279957E-02 , 8.5479578E-02 , 8.5654884E-02 , 8.5808929E-02 , 8.5944233E-02 , 8.6062946E-02 , 8.6166863E-02 , 8.6257533E-02 , 8.6336292E-02 , 8.6404304E-02 , 8.6462595E-02 , 8.6512052E-02 , 8.6553505E-02 , 8.6587672E-02 , 8.6615201E-02 , 8.6636700E-02 , 8.6652435E-02 , 8.6663189E-02 , 8.6669425E-02 , 8.6671597E-02 , 8.6670092E-02 , 8.6665310E-02 , 8.6657613E-02 , 8.6647340E-02 , 8.6634827E-02 , 8.6620380E-02 , 8.6604303E-02 , 8.6586871E-02 , 8.6568376E-02 , 8.6549085E-02 , 8.6529235E-02 , 8.6509095E-02 , 8.6488895E-02 , 8.6468867E-02 
